id,sequence,domain,response_type,task,choices,response,some_entails_all,similar_experiment,enc_task,task_content,enc_responses,rt,intermediate_responses
ADDYTQDMBL,11,syllogistic,multiple-choice,Some not;therapists;climbers/Some;climbers;skaters,All;therapists;skaters|All;skaters;therapists|Some;therapists;skaters|Some;skaters;therapists|No;therapists;skaters|No;skaters;therapists|Some not;therapists;skaters|Some not;skaters;therapists|NVC,No;therapists;skaters|No;skaters;therapists,False,False,OI1,"['therapists', 'climbers', 'skaters']","['eac', 'eca']",13136,"[{'state': ['eac'], 'rt': 11344}, {'state': ['eac', 'eca'], 'rt': 11940}]"
ADDYTQDMBL,12,syllogistic,multiple-choice,Some;doctors;tellers/Some;climbers;tellers,All;doctors;climbers|All;climbers;doctors|Some;doctors;climbers|Some;climbers;doctors|No;doctors;climbers|No;climbers;doctors|Some not;doctors;climbers|Some not;climbers;doctors|NVC,No;doctors;climbers|No;climbers;doctors,False,False,II3,"['doctors', 'tellers', 'climbers']","['eac', 'eca']",6493,"[{'state': ['eac'], 'rt': 5380}, {'state': ['eac', 'eca'], 'rt': 5782}]"
ADDYTQDMBL,13,syllogistic,multiple-choice,All;engineers;campers/No;engineers;fencers,All;campers;fencers|All;fencers;campers|Some;campers;fencers|Some;fencers;campers|No;campers;fencers|No;fencers;campers|Some not;campers;fencers|Some not;fencers;campers|NVC,Some;campers;fencers|Some;fencers;campers,False,False,AE4,"['campers', 'engineers', 'fencers']","['iac', 'ica']",19198,"[{'state': ['aac'], 'rt': 6525}, {'state': [], 'rt': 13983}, {'state': ['iac'], 'rt': 14683}, {'state': ['iac', 'ica'], 'rt': 15710}, {'state': ['nvc'], 'rt': 16472}, {'state': ['ica'], 'rt': 17718}, {'state': ['iac', 'ica'], 'rt': 18275}]"
ADDYTQDMBL,14,syllogistic,multiple-choice,Some;auditors;cleaners/Some not;painters;cleaners,All;auditors;painters|All;painters;auditors|Some;auditors;painters|Some;painters;auditors|No;auditors;painters|No;painters;auditors|Some not;auditors;painters|Some not;painters;auditors|NVC,No;auditors;painters|No;painters;auditors,False,False,IO3,"['auditors', 'cleaners', 'painters']","['eac', 'eca']",11790,"[{'state': ['iac'], 'rt': 4544}, {'state': ['iac', 'ica'], 'rt': 4978}, {'state': ['iac', 'ica', 'eac'], 'rt': 8156}, {'state': ['iac', 'ica', 'eac', 'eca'], 'rt': 9015}, {'state': ['iac', 'eac', 'eca'], 'rt': 10086}, {'state': ['eac', 'eca'], 'rt': 10638}]"
ADDYTQDMBL,15,syllogistic,multiple-choice,No;agents;poets/All;skaters;agents,All;poets;skaters|All;skaters;poets|Some;poets;skaters|Some;skaters;poets|No;poets;skaters|No;skaters;poets|Some not;poets;skaters|Some not;skaters;poets|NVC,NVC,False,False,EA2,"['poets', 'agents', 'skaters']",['nvc'],36369,"[{'state': ['nvc'], 'rt': 35499}]"
ADDYTQDMBL,16,syllogistic,multiple-choice,Some;actors;nurses/Some;actors;drillers,All;nurses;drillers|All;drillers;nurses|Some;nurses;drillers|Some;drillers;nurses|No;nurses;drillers|No;drillers;nurses|Some not;nurses;drillers|Some not;drillers;nurses|NVC,No;nurses;drillers|No;drillers;nurses,False,False,II4,"['nurses', 'actors', 'drillers']","['eac', 'eca']",19138,"[{'state': ['eac'], 'rt': 17585}, {'state': ['eac', 'eca'], 'rt': 18007}]"
ADDYTQDMBL,17,syllogistic,multiple-choice,All;potters;sculptors/Some;miners;potters,All;sculptors;miners|All;miners;sculptors|Some;sculptors;miners|Some;miners;sculptors|No;sculptors;miners|No;miners;sculptors|Some not;sculptors;miners|Some not;miners;sculptors|NVC,Some;sculptors;miners|Some;miners;sculptors,False,False,AI2,"['sculptors', 'potters', 'miners']","['iac', 'ica']",6053,"[{'state': ['iac'], 'rt': 4024}, {'state': ['iac', 'ica'], 'rt': 5004}]"
ADDYTQDMBL,18,syllogistic,multiple-choice,No;dentists;actors/Some;buyers;dentists,All;actors;buyers|All;buyers;actors|Some;actors;buyers|Some;buyers;actors|No;actors;buyers|No;buyers;actors|Some not;actors;buyers|Some not;buyers;actors|NVC,NVC,False,False,EI2,"['actors', 'dentists', 'buyers']",['nvc'],15249,"[{'state': ['nvc'], 'rt': 14473}]"
ADDYTQDMBL,19,syllogistic,multiple-choice,No;waiters;poets/Some not;waiters;cashiers,All;poets;cashiers|All;cashiers;poets|Some;poets;cashiers|Some;cashiers;poets|No;poets;cashiers|No;cashiers;poets|Some not;poets;cashiers|Some not;cashiers;poets|NVC,NVC,False,False,EO4,"['poets', 'waiters', 'cashiers']",['nvc'],7821,"[{'state': ['nvc'], 'rt': 6957}]"
ADDYTQDMBL,20,syllogistic,multiple-choice,Some not;riders;actuaries/No;designers;actuaries,All;riders;designers|All;designers;riders|Some;riders;designers|Some;designers;riders|No;riders;designers|No;designers;riders|Some not;riders;designers|Some not;designers;riders|NVC,NVC,False,False,OE3,"['riders', 'actuaries', 'designers']",['nvc'],8277,"[{'state': ['nvc'], 'rt': 7311}]"
ADDYTQDMBL,21,syllogistic,multiple-choice,Some not;packers;tutors/All;butchers;tutors,All;packers;butchers|All;butchers;packers|Some;packers;butchers|Some;butchers;packers|No;packers;butchers|No;butchers;packers|Some not;packers;butchers|Some not;butchers;packers|NVC,No;packers;butchers|No;butchers;packers,False,False,OA3,"['packers', 'tutors', 'butchers']","['eac', 'eca']",12832,"[{'state': ['eac'], 'rt': 11132}, {'state': ['eac', 'eca'], 'rt': 11650}]"
ADDYTQDMBL,22,syllogistic,multiple-choice,No;campers;novelists/All;joggers;novelists,All;campers;joggers|All;joggers;campers|Some;campers;joggers|Some;joggers;campers|No;campers;joggers|No;joggers;campers|Some not;campers;joggers|Some not;joggers;campers|NVC,NVC,False,False,EA3,"['campers', 'novelists', 'joggers']",['nvc'],60982,"[{'state': ['nvc'], 'rt': 60175}]"
ADDYTQDMBL,23,syllogistic,multiple-choice,No;pilots;drivers/All;pilots;butchers,All;drivers;butchers|All;butchers;drivers|Some;drivers;butchers|Some;butchers;drivers|No;drivers;butchers|No;butchers;drivers|Some not;drivers;butchers|Some not;butchers;drivers|NVC,NVC,False,False,EA4,"['drivers', 'pilots', 'butchers']",['nvc'],19866,"[{'state': ['eca'], 'rt': 12570}, {'state': ['nvc'], 'rt': 19145}]"
ADDYTQDMBL,24,syllogistic,multiple-choice,Some not;editors;dancers/Some;scholars;editors,All;dancers;scholars|All;scholars;dancers|Some;dancers;scholars|Some;scholars;dancers|No;dancers;scholars|No;scholars;dancers|Some not;dancers;scholars|Some not;scholars;dancers|NVC,No;dancers;scholars|No;scholars;dancers,False,False,OI2,"['dancers', 'editors', 'scholars']","['eac', 'eca']",21829,"[{'state': ['eac'], 'rt': 19627}, {'state': ['eac', 'eca'], 'rt': 20558}]"
ADDYTQDMBL,25,syllogistic,multiple-choice,All;poets;writers/Some not;singers;writers,All;poets;singers|All;singers;poets|Some;poets;singers|Some;singers;poets|No;poets;singers|No;singers;poets|Some not;poets;singers|Some not;singers;poets|NVC,Some not;poets;singers|Some not;singers;poets,False,False,AO3,"['poets', 'writers', 'singers']","['oac', 'oca']",13356,"[{'state': ['oac'], 'rt': 11894}, {'state': ['oac', 'oca'], 'rt': 12353}]"
ADDYTQDMBL,26,syllogistic,multiple-choice,Some;waiters;managers/Some not;waiters;brokers,All;managers;brokers|All;brokers;managers|Some;managers;brokers|Some;brokers;managers|No;managers;brokers|No;brokers;managers|Some not;managers;brokers|Some not;brokers;managers|NVC,No;managers;brokers|No;brokers;managers,False,False,IO4,"['managers', 'waiters', 'brokers']","['eac', 'eca']",4968,"[{'state': ['eac'], 'rt': 3754}, {'state': ['eac', 'eca'], 'rt': 4130}]"
ADDYTQDMBL,27,syllogistic,multiple-choice,All;riders;counselors/No;counselors;joggers,All;riders;joggers|All;joggers;riders|Some;riders;joggers|Some;joggers;riders|No;riders;joggers|No;joggers;riders|Some not;riders;joggers|Some not;joggers;riders|NVC,NVC,False,False,AE1,"['riders', 'counselors', 'joggers']",['nvc'],16995,"[{'state': ['nvc'], 'rt': 16234}]"
ADDYTQDMBL,28,syllogistic,multiple-choice,No;managers;clerks/No;clerks;models,All;managers;models|All;models;managers|Some;managers;models|Some;models;managers|No;managers;models|No;models;managers|Some not;managers;models|Some not;models;managers|NVC,No;managers;models|No;models;managers,False,False,EE1,"['managers', 'clerks', 'models']","['eac', 'eca']",10278,"[{'state': ['eac'], 'rt': 8632}, {'state': ['eac', 'eca'], 'rt': 9096}]"
ADDYTQDMBL,29,syllogistic,multiple-choice,Some not;chefs;trainers/No;bankers;chefs,All;trainers;bankers|All;bankers;trainers|Some;trainers;bankers|Some;bankers;trainers|No;trainers;bankers|No;bankers;trainers|Some not;trainers;bankers|Some not;bankers;trainers|NVC,NVC,False,False,OE2,"['trainers', 'chefs', 'bankers']",['nvc'],4798,"[{'state': ['nvc'], 'rt': 3894}]"
ADDYTQDMBL,30,syllogistic,multiple-choice,All;dancers;boxers/All;boxers;typists,All;dancers;typists|All;typists;dancers|Some;dancers;typists|Some;typists;dancers|No;dancers;typists|No;typists;dancers|Some not;dancers;typists|Some not;typists;dancers|NVC,No;dancers;typists|No;typists;dancers,False,False,AA1,"['dancers', 'boxers', 'typists']","['eac', 'eca']",19261,"[{'state': ['eca'], 'rt': 2359}, {'state': ['eac', 'eca'], 'rt': 5593}]"
ADDYTQDMBL,31,syllogistic,multiple-choice,Some not;athletes;lawyers/No;athletes;hunters,All;lawyers;hunters|All;hunters;lawyers|Some;lawyers;hunters|Some;hunters;lawyers|No;lawyers;hunters|No;hunters;lawyers|Some not;lawyers;hunters|Some not;hunters;lawyers|NVC,No;lawyers;hunters|No;hunters;lawyers,False,False,OE4,"['lawyers', 'athletes', 'hunters']","['eac', 'eca']",8886,"[{'state': ['eac'], 'rt': 7463}, {'state': ['eac', 'eca'], 'rt': 8074}]"
ADDYTQDMBL,32,syllogistic,multiple-choice,Some not;investors;bakers/Some not;sailors;bakers,All;investors;sailors|All;sailors;investors|Some;investors;sailors|Some;sailors;investors|No;investors;sailors|No;sailors;investors|Some not;investors;sailors|Some not;sailors;investors|NVC,Some;investors;sailors|Some;sailors;investors,False,False,OO3,"['investors', 'bakers', 'sailors']","['iac', 'ica']",10722,"[{'state': ['iac'], 'rt': 9535}, {'state': ['iac', 'ica'], 'rt': 9919}]"
ADDYTQDMBL,34,syllogistic,multiple-choice,Some;potters;chemists/All;sailors;potters,All;chemists;sailors|All;sailors;chemists|Some;chemists;sailors|Some;sailors;chemists|No;chemists;sailors|No;sailors;chemists|Some not;chemists;sailors|Some not;sailors;chemists|NVC,NVC,False,False,IA2,"['chemists', 'potters', 'sailors']",['nvc'],34350,"[{'state': ['oca'], 'rt': 30443}, {'state': ['oac', 'oca'], 'rt': 31317}, {'state': ['nvc'], 'rt': 33535}]"
ADDYTQDMBL,35,syllogistic,multiple-choice,Some not;lifeguards;dentists/No;dentists;plumbers,All;lifeguards;plumbers|All;plumbers;lifeguards|Some;lifeguards;plumbers|Some;plumbers;lifeguards|No;lifeguards;plumbers|No;plumbers;lifeguards|Some not;lifeguards;plumbers|Some not;plumbers;lifeguards|NVC,NVC,False,False,OE1,"['lifeguards', 'dentists', 'plumbers']",['nvc'],5760,"[{'state': ['nvc'], 'rt': 5300}]"
ADDYTQDMBL,36,syllogistic,multiple-choice,All;pilots;tailors/Some;pilots;singers,All;tailors;singers|All;singers;tailors|Some;tailors;singers|Some;singers;tailors|No;tailors;singers|No;singers;tailors|Some not;tailors;singers|Some not;singers;tailors|NVC,No;tailors;singers,False,False,AI4,"['tailors', 'pilots', 'singers']",['eac'],27187,"[{'state': ['eac'], 'rt': 21409}, {'state': ['eac', 'eca'], 'rt': 22111}, {'state': ['eac'], 'rt': 26549}]"
ADDYTQDMBL,37,syllogistic,multiple-choice,No;analysts;novelists/Some not;novelists;travelers,All;analysts;travelers|All;travelers;analysts|Some;analysts;travelers|Some;travelers;analysts|No;analysts;travelers|No;travelers;analysts|Some not;analysts;travelers|Some not;travelers;analysts|NVC,No;travelers;analysts,False,False,EO1,"['analysts', 'novelists', 'travelers']",['eca'],41333,"[{'state': ['eca'], 'rt': 40073}]"
ADDYTQDMBL,38,syllogistic,multiple-choice,Some not;scientists;golfers/All;golfers;workers,All;scientists;workers|All;workers;scientists|Some;scientists;workers|Some;workers;scientists|No;scientists;workers|No;workers;scientists|Some not;scientists;workers|Some not;workers;scientists|NVC,Some not;scientists;workers|Some not;workers;scientists,False,False,OA1,"['scientists', 'golfers', 'workers']","['oac', 'oca']",16296,"[{'state': ['oca'], 'rt': 13220}, {'state': ['oac', 'oca'], 'rt': 15303}]"
ADDYTQDMBL,39,syllogistic,multiple-choice,All;painters;actors/No;workers;painters,All;actors;workers|All;workers;actors|Some;actors;workers|Some;workers;actors|No;actors;workers|No;workers;actors|Some not;actors;workers|Some not;workers;actors|NVC,NVC,False,False,AE2,"['actors', 'painters', 'workers']",['nvc'],31366,"[{'state': ['nvc'], 'rt': 30474}]"
ADDYTQDMBL,40,syllogistic,multiple-choice,No;porters;packers/No;hunters;porters,All;packers;hunters|All;hunters;packers|Some;packers;hunters|Some;hunters;packers|No;packers;hunters|No;hunters;packers|Some not;packers;hunters|Some not;hunters;packers|NVC,No;packers;hunters|No;hunters;packers,False,False,EE2,"['packers', 'porters', 'hunters']","['eac', 'eca']",6905,"[{'state': ['eac'], 'rt': 4838}, {'state': ['eac', 'eca'], 'rt': 5280}]"
ADDYTQDMBL,41,syllogistic,multiple-choice,Some not;boxers;surfers/Some not;florists;boxers,All;surfers;florists|All;florists;surfers|Some;surfers;florists|Some;florists;surfers|No;surfers;florists|No;florists;surfers|Some not;surfers;florists|Some not;florists;surfers|NVC,Some not;surfers;florists|Some not;florists;surfers,False,False,OO2,"['surfers', 'boxers', 'florists']","['oac', 'oca']",13993,"[{'state': ['oac'], 'rt': 12065}, {'state': ['oac', 'oca'], 'rt': 13441}]"
ADDYTQDMBL,42,syllogistic,multiple-choice,Some;writers;drivers/No;hikers;writers,All;drivers;hikers|All;hikers;drivers|Some;drivers;hikers|Some;hikers;drivers|No;drivers;hikers|No;hikers;drivers|Some not;drivers;hikers|Some not;hikers;drivers|NVC,NVC,False,False,IE2,"['drivers', 'writers', 'hikers']",['nvc'],5976,"[{'state': ['nvc'], 'rt': 5206}]"
ADDYTQDMBL,43,syllogistic,multiple-choice,No;doctors;planners/Some;planners;typists,All;doctors;typists|All;typists;doctors|Some;doctors;typists|Some;typists;doctors|No;doctors;typists|No;typists;doctors|Some not;doctors;typists|Some not;typists;doctors|NVC,NVC,False,False,EI1,"['doctors', 'planners', 'typists']",['nvc'],3329,"[{'state': ['nvc'], 'rt': 2584}]"
ADDYTQDMBL,44,syllogistic,multiple-choice,All;assistants;soldiers/All;barbers;assistants,All;soldiers;barbers|All;barbers;soldiers|Some;soldiers;barbers|Some;barbers;soldiers|No;soldiers;barbers|No;barbers;soldiers|Some not;soldiers;barbers|Some not;barbers;soldiers|NVC,All;soldiers;barbers|No;soldiers;barbers|No;barbers;soldiers,False,False,AA2,"['soldiers', 'assistants', 'barbers']","['aac', 'eac', 'eca']",20112,"[{'state': ['aac'], 'rt': 3560}, {'state': ['aac', 'eac'], 'rt': 15011}, {'state': ['aac', 'eac', 'eca'], 'rt': 19104}]"
ADDYTQDMBL,45,syllogistic,multiple-choice,No;tellers;carpenters/Some;tellers;artists,All;carpenters;artists|All;artists;carpenters|Some;carpenters;artists|Some;artists;carpenters|No;carpenters;artists|No;artists;carpenters|Some not;carpenters;artists|Some not;artists;carpenters|NVC,Some not;carpenters;artists|Some not;artists;carpenters,False,False,EI4,"['carpenters', 'tellers', 'artists']","['oac', 'oca']",12505,"[{'state': ['oac'], 'rt': 11164}, {'state': ['oac', 'oca'], 'rt': 11603}]"
ADDYTQDMBL,46,syllogistic,multiple-choice,All;secretaries;climbers/No;fencers;climbers,All;secretaries;fencers|All;fencers;secretaries|Some;secretaries;fencers|Some;fencers;secretaries|No;secretaries;fencers|No;fencers;secretaries|Some not;secretaries;fencers|Some not;fencers;secretaries|NVC,NVC,False,False,AE3,"['secretaries', 'climbers', 'fencers']",['nvc'],5210,"[{'state': ['nvc'], 'rt': 4500}]"
ADDYTQDMBL,47,syllogistic,multiple-choice,No;jugglers;investors/No;jugglers;barbers,All;investors;barbers|All;barbers;investors|Some;investors;barbers|Some;barbers;investors|No;investors;barbers|No;barbers;investors|Some not;investors;barbers|Some not;barbers;investors|NVC,No;investors;barbers|No;barbers;investors,False,False,EE4,"['investors', 'jugglers', 'barbers']","['eac', 'eca']",5977,"[{'state': ['nvc'], 'rt': 2792}, {'state': ['eac'], 'rt': 4832}, {'state': ['eac', 'eca'], 'rt': 5238}]"
ADDYTQDMBL,48,syllogistic,multiple-choice,Some not;bakers;sculptors/All;bakers;gamblers,All;sculptors;gamblers|All;gamblers;sculptors|Some;sculptors;gamblers|Some;gamblers;sculptors|No;sculptors;gamblers|No;gamblers;sculptors|Some not;sculptors;gamblers|Some not;gamblers;sculptors|NVC,NVC,False,False,OA4,"['sculptors', 'bakers', 'gamblers']",['nvc'],7851,"[{'state': ['nvc'], 'rt': 7232}]"
ADDYTQDMBL,49,syllogistic,multiple-choice,Some not;nurses;cooks/Some;painters;cooks,All;nurses;painters|All;painters;nurses|Some;nurses;painters|Some;painters;nurses|No;nurses;painters|No;painters;nurses|Some not;nurses;painters|Some not;painters;nurses|NVC,Some not;nurses;painters|Some not;painters;nurses,False,False,OI3,"['nurses', 'cooks', 'painters']","['oac', 'oca']",13909,"[{'state': ['oac'], 'rt': 12087}, {'state': ['oac', 'oca'], 'rt': 12631}]"
ADDYTQDMBL,50,syllogistic,multiple-choice,Some;boxers;actuaries/All;actuaries;opticians,All;boxers;opticians|All;opticians;boxers|Some;boxers;opticians|Some;opticians;boxers|No;boxers;opticians|No;opticians;boxers|Some not;boxers;opticians|Some not;opticians;boxers|NVC,Some not;boxers;opticians,False,False,IA1,"['boxers', 'actuaries', 'opticians']",['oac'],24287,"[{'state': ['oac'], 'rt': 9262}]"
ADDYTQDMBL,51,syllogistic,multiple-choice,Some;cyclists;students/All;cyclists;buyers,All;students;buyers|All;buyers;students|Some;students;buyers|Some;buyers;students|No;students;buyers|No;buyers;students|Some not;students;buyers|Some not;buyers;students|NVC,No;students;buyers|No;buyers;students,False,False,IA4,"['students', 'cyclists', 'buyers']","['eac', 'eca']",11003,"[{'state': ['eac'], 'rt': 9892}, {'state': ['eac', 'eca'], 'rt': 10217}]"
ADDYTQDMBL,52,syllogistic,multiple-choice,All;cyclists;lifeguards/All;cyclists;divers,All;lifeguards;divers|All;divers;lifeguards|Some;lifeguards;divers|Some;divers;lifeguards|No;lifeguards;divers|No;divers;lifeguards|Some not;lifeguards;divers|Some not;divers;lifeguards|NVC,No;lifeguards;divers|No;divers;lifeguards,False,False,AA4,"['lifeguards', 'cyclists', 'divers']","['eac', 'eca']",27485,"[{'state': ['eca'], 'rt': 24409}, {'state': ['eac', 'eca'], 'rt': 25222}]"
ADDYTQDMBL,53,syllogistic,multiple-choice,All;tailors;tutors/Some not;tutors;brewers,All;tailors;brewers|All;brewers;tailors|Some;tailors;brewers|Some;brewers;tailors|No;tailors;brewers|No;brewers;tailors|Some not;tailors;brewers|Some not;brewers;tailors|NVC,NVC,False,False,AO1,"['tailors', 'tutors', 'brewers']",['nvc'],3504,"[{'state': ['nvc'], 'rt': 2788}]"
ADDYTQDMBL,54,syllogistic,multiple-choice,Some;trainers;architects/No;designers;architects,All;trainers;designers|All;designers;trainers|Some;trainers;designers|Some;designers;trainers|No;trainers;designers|No;designers;trainers|Some not;trainers;designers|Some not;designers;trainers|NVC,NVC,False,False,IE3,"['trainers', 'architects', 'designers']",['nvc'],14190,"[{'state': ['nvc'], 'rt': 13309}]"
ADDYTQDMBL,55,syllogistic,multiple-choice,All;linguists;students/Some not;linguists;climbers,All;students;climbers|All;climbers;students|Some;students;climbers|Some;climbers;students|No;students;climbers|No;climbers;students|Some not;students;climbers|Some not;climbers;students|NVC,NVC,False,False,AO4,"['students', 'linguists', 'climbers']",['nvc'],82222,"[{'state': ['nvc'], 'rt': 81417}]"
ADDYTQDMBL,56,syllogistic,multiple-choice,Some;lawyers;actors/Some not;actors;swimmers,All;lawyers;swimmers|All;swimmers;lawyers|Some;lawyers;swimmers|Some;swimmers;lawyers|No;lawyers;swimmers|No;swimmers;lawyers|Some not;lawyers;swimmers|Some not;swimmers;lawyers|NVC,Some;lawyers;swimmers|Some;swimmers;lawyers,False,False,IO1,"['lawyers', 'actors', 'swimmers']","['iac', 'ica']",12845,"[{'state': ['ica'], 'rt': 11182}, {'state': ['iac', 'ica'], 'rt': 11749}]"
ADDYTQDMBL,57,syllogistic,multiple-choice,Some not;clerks;auditors/Some not;clerks;cashiers,All;auditors;cashiers|All;cashiers;auditors|Some;auditors;cashiers|Some;cashiers;auditors|No;auditors;cashiers|No;cashiers;auditors|Some not;auditors;cashiers|Some not;cashiers;auditors|NVC,No;auditors;cashiers|No;cashiers;auditors,False,False,OO4,"['auditors', 'clerks', 'cashiers']","['eac', 'eca']",5992,"[{'state': ['eac'], 'rt': 4618}, {'state': ['eac', 'eca'], 'rt': 5035}]"
ADDYTQDMBL,58,syllogistic,multiple-choice,Some;farmers;jugglers/No;jugglers;gamblers,All;farmers;gamblers|All;gamblers;farmers|Some;farmers;gamblers|Some;gamblers;farmers|No;farmers;gamblers|No;gamblers;farmers|Some not;farmers;gamblers|Some not;gamblers;farmers|NVC,NVC,False,False,IE1,"['farmers', 'jugglers', 'gamblers']",['nvc'],7776,"[{'state': ['nvc'], 'rt': 6932}]"
ADDYTQDMBL,59,syllogistic,multiple-choice,No;mayors;cooks/All;cooks;swimmers,All;mayors;swimmers|All;swimmers;mayors|Some;mayors;swimmers|Some;swimmers;mayors|No;mayors;swimmers|No;swimmers;mayors|Some not;mayors;swimmers|Some not;swimmers;mayors|NVC,Some not;mayors;swimmers|Some not;swimmers;mayors,False,False,EA1,"['mayors', 'cooks', 'swimmers']","['oac', 'oca']",13168,"[{'state': ['oac'], 'rt': 11683}, {'state': ['oac', 'oca'], 'rt': 12318}]"
ADDYTQDMBL,60,syllogistic,multiple-choice,Some;therapists;engineers/Some;engineers;travelers,All;therapists;travelers|All;travelers;therapists|Some;therapists;travelers|Some;travelers;therapists|No;therapists;travelers|No;travelers;therapists|Some not;therapists;travelers|Some not;travelers;therapists|NVC,Some not;therapists;travelers|Some not;travelers;therapists,False,False,II1,"['therapists', 'engineers', 'travelers']","['oac', 'oca']",12291,"[{'state': ['oac'], 'rt': 10717}, {'state': ['oac', 'oca'], 'rt': 11282}]"
